id,title,text,subject,date,is_fake_news,text_length
15094,"China faces historic corruption battle, ruling party's new graft buster says","China must win its battle against corruption or face being erased by history, its new top graft buster said in an editorial on Saturday, underscoring the ruling Communist Party s focus on eliminating corrupt behaviour. Zhao Leji, appointed to the new seven-member Politburo Standing Committee last month and tasked to lead President Xi Jinping s signature war on corruption, wrote in the state-run People s Daily that failure would lead to the party s downfall.  If our control of the party is not strong and party governance is not strict, then the party won t be able to avoid being erased by history and the historic task the party carries will not be able to be fulfilled,  Zhao wrote. Xi, like others before him, has warned that corruption is so serious it could lead to the end of the party s grip on power. Xi s corruption fight has ensnared more than 1.3 million officials. At last month s five-yearly party congress he said it would continue to target both  tigers  and  flies , a reference to elite officials and ordinary bureaucrats. Zhao, formerly a low-profile official, replaced Wang Qishan, whose sweeping anti-graft campaign had made him China s second most-powerful politician.  The facts tell us and warn us that the party s position as the top political leader and power is the foundation of our political stability, economic development, national unity and social stability,  Zhao wrote. Zhao leads the Central Commission for Discipline Inspection (CCDI), having previously been in charge of the party s powerful organisation department, which is in charge of personnel decisions. He added that there would be no tolerance of people who  just do what they want to do  and ignore orders or carry on with banned behaviours like trying to get around policy decisions. Promotions also needed to be rigorously scrutinised, he said, a reference to numerous previous scandals where corrupt officials had abused their power or taken bribes to promote friends and family members.  Officials  personal files must be examined, and individuals  reports on their personal matters must be verified,  Zhao wrote. Above all, the leadership of the Communist Party had to be maintained, as the last 100 years of history had shown that without the party s leadership  there is no way out , he added. China has plans for a national supervision law and a new commission next year to oversee the expansion of Xi s graft fight.",worldnews,"November 11, 2017 ",False,420
22215,"Lake Oroville Dam Spillway Damage Results in Evacuation Orders to 188,000 People","21st Century Wire says The Oroville dam in Northern California has sustained sink hole damage in the main spillway and over 188,000 residents of the local area have been told to evacuate. Helicopters are dropping rocks into areas of erosion to try to prevent ground from eroding further downstream of the primary and the never before used secondary, passive spillways at the dam.ABC10 noted late last week that the amount of water in the Oroville dam is challenging the design of the dam (due to the sink hole having formed in the spillway which required the outflow to be slowed) with 185,000 cubic feet of water per second are coming into the dam and only 41,000 going out.There is a passive spillway that has now been forced into use as the water levels rise and more rain is expected later this week, but its unknown what the down stream effects will be as this auxiliary spillway has never been used before. It has the potential of causing a lot of damage spilling downstream into the Feather River and towards residential areas. Reports indicate they have increased the outgoing water from the main spillway to lessen the potential damage of the use of the passive spillway.Join ABC10 below for live updates and ongoing reports on this developing situation at the Oroville Dam  ABC 10At least 188,000 people living downstream of California s Oroville Dam were ordered to evacuate late Sunday as officials said an emergency spillway was dangerously eroding and a failure could cause uncontrolled floodwaters to pour out of the lake.Water began flowing over the emergency spillway at the Oroville Dam in Northern California on Saturday for the first time in its nearly 50-year history after heavy rainfall.Evacuation orders still in place. We will work to keep updating everyone. Be safe. https://t.co/xjYGk6B8VF  Yuba County (@YubaCounty) February 13, 2017Crews are hard at work reinforcing the integrity of the levee adjacent to Tyler Island. Stay tuned to our social media for continued updates pic.twitter.com/6UIgIbCjWm  SacramentoOES (@SacramentoOES) February 13, 2017The Paradise Alliance Church is not longer accepting new evacuees. If seeking shelter visit https://t.co/zmTLivT9tA for updated list.  Butte County, CA (@CountyofButte) February 13, 2017Butte County offices in the Oroville area will remain CLOSED tomorrow due to the #OrovilleSpillway evacuations. @ButteSheriff @CA_DWR  Butte County, CA (@CountyofButte) February 13, 2017Continue this developing story with live updates at ABC10READ MORE US NEWS AT: 21st Century Wire US FilesSUPPORT OUR WORK BY SUBSCRIBING & BECOMING A MEMBER @21WIRE.TV",US_News,"February 13, 2017",True,416
22998,"Lake Oroville Dam Spillway Damage Results in Evacuation Orders to 188,000 People","21st Century Wire says The Oroville dam in Northern California has sustained sink hole damage in the main spillway and over 188,000 residents of the local area have been told to evacuate. Helicopters are dropping rocks into areas of erosion to try to prevent ground from eroding further downstream of the primary and the never before used secondary, passive spillways at the dam.ABC10 noted late last week that the amount of water in the Oroville dam is challenging the design of the dam (due to the sink hole having formed in the spillway which required the outflow to be slowed) with 185,000 cubic feet of water per second are coming into the dam and only 41,000 going out.There is a passive spillway that has now been forced into use as the water levels rise and more rain is expected later this week, but its unknown what the down stream effects will be as this auxiliary spillway has never been used before. It has the potential of causing a lot of damage spilling downstream into the Feather River and towards residential areas. Reports indicate they have increased the outgoing water from the main spillway to lessen the potential damage of the use of the passive spillway.Join ABC10 below for live updates and ongoing reports on this developing situation at the Oroville Dam  ABC 10At least 188,000 people living downstream of California s Oroville Dam were ordered to evacuate late Sunday as officials said an emergency spillway was dangerously eroding and a failure could cause uncontrolled floodwaters to pour out of the lake.Water began flowing over the emergency spillway at the Oroville Dam in Northern California on Saturday for the first time in its nearly 50-year history after heavy rainfall.Evacuation orders still in place. We will work to keep updating everyone. Be safe. https://t.co/xjYGk6B8VF  Yuba County (@YubaCounty) February 13, 2017Crews are hard at work reinforcing the integrity of the levee adjacent to Tyler Island. Stay tuned to our social media for continued updates pic.twitter.com/6UIgIbCjWm  SacramentoOES (@SacramentoOES) February 13, 2017The Paradise Alliance Church is not longer accepting new evacuees. If seeking shelter visit https://t.co/zmTLivT9tA for updated list.  Butte County, CA (@CountyofButte) February 13, 2017Butte County offices in the Oroville area will remain CLOSED tomorrow due to the #OrovilleSpillway evacuations. @ButteSheriff @CA_DWR  Butte County, CA (@CountyofButte) February 13, 2017Continue this developing story with live updates at ABC10READ MORE US NEWS AT: 21st Century Wire US FilesSUPPORT OUR WORK BY SUBSCRIBING & BECOMING A MEMBER @21WIRE.TV",Middle-east,"February 13, 2017",True,416
20553,SPEAK ENGLISH…You’re In America! Owner Of Popular Frozen Custard Shop Defends His Policy [VIDEO],"Forcing employees in a mostly Hispanic area of a very liberal city to speak English seems like a bit of a risk. It appears however, that Mr. Schneider is unconcerned about the spotlight on his English only policy and is standing firm on his convictions.  It s going to get disruptive if we have to become bilingual, trilingual or anything else.    Ron Schneider, Leon s Frozen Custard ownerMILWAUKEE   Leon s Frozen Custard has an English-only policy   a policy some are questioning, and others are applauding.Ron Schneider, the owner of Leon s, says there s nothing wrong with his policy, and that it doesn t appear to be hurting his business.Leon s is located near 27th and Oklahoma on Milwaukee s south side.Leon s Frozen Custard is a Milwaukee institution   but the custard isn t good enough for everyone to overlook the controversial policy. Most people that live here are Latino,  Jorge Maya said.  I don t think I m going to be back anytime soon. This all started on Tuesday, May 17th, when Joey Sanchez overheard one of Leon s employees interacting with a Spanish-speaking customer. She whispered to him in Spanish  I m not allowed to speak Spanish to you,'  Sanchez said.Sanchez was next in line. He also placed his order in Spanish. The employee gave him the same response. I m trying to understand or find the why. I need to hear from him, to hear why he has this policy,  Sanchez said.Schneider told WITI his employees can only speak English on the job. Hey, c mon! It is America. We ve spoken English for a long, long time,  Schneider said.Schneider says the policy has been in place for a decade, and it has never been an issue. Any foreign language is going to be a problem. What I m trying to avoid is when people come up here, get waited on in a different language because there happens to be an employee who speaks that language,  Schneider said.Sanchez said he feels Leon s policy is just bad business. If they have the people who can speak Spanish and communicate with the customer better, why not?  Sanchez said.Other customers said they side with Schneider. We do live in America, you know?  Ryan Schmidt said.Schneider, who points out that his wife is Hispanic, says no customer has ever been turned away at Leon s. Via: FOX 2 Now",left-news,"May 19, 2016",True,418
4429,Democrats ask Trump to veto measure repealing city retirement plan rule,"In a last-ditch effort, five U.S. Senate Democrats are urging President Donald Trump to veto a resolution that would repeal a Labor Department rule designed to help cities launch retirement savings plans for low-income private-sector workers by exempting such programs from strict federal pension protection laws. In an April 5 letter that Reuters saw on Thursday, the lawmakers told Trump, a Republican, that killing the rule could harm more than 2 million Americans who would otherwise benefit from city-run retirement plans. “We ask you to work with us to increase access to retirement savings programs and promote greater retirement security,” they wrote. The senators signing the letter are Patty Murray of Washington and Ron Wyden of Oregon, the top Democrats on committees overseeing pensions and tax matters; Maria Cantwell of Washington; Kirsten Gillibrand of New York; and Robert Casey of Pennsylvania. The resolution on city-run retirement plans is one of 13 measures that Congress has passed to repeal rules enacted under previous president Barack Obama, a Democrat. An obscure law called the Congressional Review Act gives Congress a tool to repeal regulations that it finds objectionable. All that is required is a simple majority vote in both chambers and the president’s signature. The law is limited, however, in how it can be used. Only rules that were finalized within 60 legislative days are eligible for repeal. Trump has signed 11 of the 13 resolutions so far.  The White House Office of Management and Budget has advised Trump to sign the city-run retirement plan measure, and a White House official said on Wednesday that the president would sign more resolutions this month.  The Labor Department adopted two rules at the end of Obama’s tenure that exempted both city and state-run retirement plans from the Employee Retirement Income Security Act, or ERISA, a law designed to protect workers’ savings. The plans are geared toward private-sector workers whose employers do not offer 401(k) or other retirement benefits, and would let them enroll automatically in plans like those being introduced in places like California. Cities and states say they need the exemption for the plans to work effectively, but trade groups like the Chamber of Commerce and Investment Company Institute want it repealed amid concerns that workers would not have adequate pension protections. The resolution to repeal the city-run retirement plan rule narrowly passed the Senate in a 50-49 vote.  The Senate is expected to take up a separate resolution to repeal the rule on state-run retirement plans after the Easter recess.",politicsNews,"April 6, 2017 ",False,421
4523,Hannity Gets His A** Handed To Him For Falsely Claiming Terence Crutcher Has Violent Criminal Past,"Fox News host Sean Hannity desperately tried to smear Terence Crutcher on Wednesday as a violent criminal who was wanted by police but was repeatedly shut down by a local Tulsa news anchor.Crutcher was shot and killed by white police police officer Betty Shelby even though he had his hands up and was surrounded by other police officers. The murder was caught on camera.Clearly, the unarmed Crutcher was not a threat to the safety of the officers, especially when you consider the fact that police officers have consistently taken in armed white suspects alive without ever firing a shot at them.But Sean Hannity repeatedly claimed during his radio show that Crutcher had a violent criminal record and had warrants out for his arrest. I understand that in this particular case Mr Crutcher has a long criminal history and appeared to be under the influence or so the police are charging,  Hannity said, which prompted Tulsa news anchor Russell Mills to smack Hannity down with facts. Well I ll tell you I looked up his history and I m not seeing a lot of criminal history,  Mills replied.  We have something called the OSCN   the Oklahoma Supreme Court Network. I was able to find a protective order from 12 years ago that was dismissed. I found a couple of financial things. There s no violent criminal history for Mr. Crutcher that I ve been able to uncover. But Hannity didn t want to hear the truth so he moved on to claiming that Crutcher had several warrants out for his arrest.Mills informed Hannity that there were no such warrants.Hannity responded that he read somewhere that there were warrants. I have not seen any reporting on any warrants for Mr. Crutcher and I certainly haven t uncovered any myself,  Mills said.  There has been some misinformation floated. A disappointed Hannity resorted to claiming that he has a  source  within the department and said that  it s a matter of time of when they re gonna release this information. Here s the audio via Media Matters:Once again, Sean Hannity tries to demonize another black victim of a police shooting in order to make people believe the shooting was totally justified. The bottom line, however, is that Crutcher had his hands up and was surrounded by officers. He wasn t a threat to them or anyone else but they executed him anyway. Officer Betty Shelby should be arrested and charged with murder. Period.Featured Image: Screenshot",News,"September 22, 2016",True,421
2062,Treasury secretary's wife apologizes for Instagram sniping,"The wife of U.S. Treasury Secretary Steve Mnuchin on Tuesday apologized for sniping at a critic on social media site Instagram who called her “deplorable” for a post highlighting her expensive clothing as she exited a government plane. The flap erupted after Mnuchin’s wife, Scottish-born actress Louise Linton, posted a photo of herself emerging from the aircraft wearing a white outfit and sunglasses, using the hashtags “#tomford,” “#hermesscarf” and “#valentino,” according to images of the Monday evening post on social media. In her initially vitriolic response to the “deplorable” criticism, Linton had lashed out about how much she and her husband contribute to the economy and pay in taxes.  On Tuesday, she scrolled back. “I apologize for my post on social media yesterday as well as my response. It was inappropriate and highly insensitive,” Linton said in a statement released through a publicist. Linton has since made her Instagram account private. Jenni Miller, who identified herself as a mother of three from Portland, Oregon, had said of Linton’s original post on Instagram: “Glad we could pay for your little getaway. #deplorable.”  Former U.S. Secretary of State Hillary Clinton said during her unsuccessful presidential run that some of U.S. President Donald Trump’s supporters were a “basket of deplorables.” Linton shot back at Miller. “Do you think the US govt paid for our honeymoon or personal travel?! Lololol,” she said, according to images of the response posted online. “Have you given more to the economy than me and my husband? Either as an individual earner in taxes OR in self sacrifice to your country? I’m pretty sure we paid more taxes toward our day ‘trip’ than you did.” The U.S. Treasury did not respond to requests for comment. The high-end fashions Linton called out in her post carry hefty price tags, with Hermes scarves retailing from $300 to more than $2,300. Mnuchin is a former Goldman Sachs Group Inc (GS.N) executive and Hollywood film financier. Linton has been at the center of controversy before. Last year she withdrew a self-published book in which she claimed to have been caught up in violence in Zambia. African leaders and aid workers said the book was filled with factual errors. Trump ran on a populist campaign platform, vowing to improve the lives of working Americans and has surrounded himself with a cabinet heavy on corporate titans, including Secretary of State Rex Tillerson, a former chief executive of Exxon Mobil Corp (XOM.N), and financier Wilbur Ross, now the commerce secretary.",politicsNews,"August 22, 2017 ",False,416
2428,GOP Lawmaker To Trump: Stop Acting Like A ‘Fragile’ Snowflake Over Town Hall Protests,"Angry constituents have inundated town hall meetings over concerns of Obamacare being repealed and other issues. There is so much frustration with constituents over Trump s policies that Republicans in Congress are avoiding in-person town hall meetings. Vice News reports that 200 Republicans in Congress are skipping town hall meetings with their constituents in February. Rep. Tom Emmer (R-MN) will not allow protesting, or what he calls  disruptive behavior  at his upcoming town hall Wednesday or the event will be canceled. Specifically, no  chanting  will be allowed at the Snowflake s event. Of course, we never heard the same to be said when tea partiers descended on Democratic lawmaker s town hall meetings and shut them down over Obamacare. Republicans are feeling the heat and so is the alleged president. The so-called angry crowds in home districts of some Republicans are actually, in numerous cases, planned out by liberal activists. Sad!  Trump said on Tuesday.The so-called angry crowds in home districts of some Republicans are actually, in numerous cases, planned out by liberal activists. Sad!  Donald J. Trump (@realDonaldTrump) February 21, 2017In order to discredit those who offend our fragile POTUS, Trump routinely uses the term  so-called,  just as he did with a federal judge who ruled against his Muslim ban.Rep. Justin Amash (R-Mich.) pushed back against Trump s claim that  liberal activists  are organizing agitated protests in Republican districts. They are our fellow Americans with legitimate concerns. We need to stop acting so fragile. I m proud to defend liberty and the Constitution,  he tweeted.They are our fellow Americans with legitimate concerns. We need to stop acting so fragile. I m proud to defend liberty and the Constitution. https://t.co/2CcD02mXzl  Justin Amash (@justinamash) February 22, 2017Amash called out Trump before after the amateur president kept attacking Rep. John Lewis. Dude, just stop,  he tweeted in January.Dude, just stop. https://t.co/UCIqhqGnXu  Justin Amash (@justinamash) January 15, 2017He s not wrong but he s in a swing state so we re wondering if he s pandering to voters in his area, however, he has faced packed town halls in his home state recently with hundreds of constituents. I think it is critical that members of Congress hold in-person town halls like this,  Amash said at an event about two weeks ago, according to The Hill.  There aren t enough of people on either side of the aisle who do it. Image: Gage Skidmore via Flickr.",News,"February 22, 2017",True,418
19720,"Syrian army sends more troops across Euphrates, near U.S.-backed forces","Syrian troops crossed to the eastern side of the Euphrates in Deir al-Zor on Monday, state media and a monitoring group said, increasing their presence in an area where U.S.-backed militias have also advanced. The rival forces are conducting offensives against Islamic State and have generally stayed out of each other s way, with the river often acting as a dividing line.  However, incidents this year have raised tension between the government side, backed by Russia, and the U.S.-backed forces. Talks have been under way to extend a formal demarcation line, officials have said. A commander in a militia of the U.S.-backed Syrian Democratic Forces (SDF) confirmed Syrian army units had crossed and said his fighters were ready to drive them back.  If there are clashes between us and them - we re ready for those if the forces of the regime don t go back to the other bank,  Ahmed Abu Khawla of the SDF s Deir al-Zor military council said. Russia s foreign ministry said on Friday Syrian government forces crossed the river for the first time in their offensive against the jihadist group in Deir al-Zor province. Monday s crossing took place near a southern suburb of the city seized by the army on Saturday, the British-based Syrian Observatory for Human Rights said. Syrian state news agency SANA said heavy fighting took place against Islamic State in the area. The militant group said via its online Amaq news agency that it had deployed at least two suicide car bombs against government forces. The convergence of the Syrian army offensive from the west and the SDF operation from the east has led to increased tensions. The SDF said they came under attack from Syrian forces and Russian jets backing them on Saturday, after Abu Khawla said they would not allow the army to cross the river and would consider shots fired in their direction as an attack. The SDF has advanced to within kilometres of the river, while the Syrian army has retaken much of the city, most of it on the western side. President Bashar al-Assad has vowed to recapture all of Syria. Assad controls the main urban centres in the west of the country.  The SDF, dominated by the Kurdish YPG militia, controls much of Syria s northeast. Syrian rebel groups which have fought against Assad since 2011 hold pockets of territory in western Syria. Islamic State s shrinking territory includes much of oil-rich Deir al-Zor province.",worldnews,"September 18, 2017 ",False,415
13941,WHOA! ROCK LEGEND Roger Daltrey Rips EU For “Raping” Southern European Countries With IMMIGRATION Nightmare,"WHO knew legendary rocker Roger Daltrey was such a patriotic guy? The Who s lead singer, Roger Daltrey feels very strongly about what s happening with the dysfunctional EU and he s making sure everyone knows how he feels about  the leaders who ve pushed immigration at the peril of the citizens.Roger Daltrey wants Britain to quit the  undemocratic, highly dysfunctional  EU which he claims is  raping  southern European countries.The Who frontman backed Brexit in an exclusive interview with The Sun, labelling our membership a  disaster .The legendary rocker said:  The only way we re going to get the Europe that we want is to get rid of this bunch of f***ing useless w***ers that are running it. He said it was  set up by a bunch of crooks , adding:  It s like these things on the internet where they tell you to read the conditions   no one s going to bloody read the conditions! But that s how they did this, we all thought we were voting for a common trade area. Blasting the impact on our own sovereignty he said:  What it s done to our Parliament is put them down to level of Parish Council. Hitting out at the unnecessary layers of Government it has created, he added:  Because there are so many politicians we get so much useless f***ing law. Attacking the way the EU has impacted on people s lives, he said:  That s the biggest issue for me, it s undemocratic, highly dysfunctional, I mean you name me one area of Europe that s functioning really well at the moment. They talk about the immigration thing being the number one issue and I think it is a big issue for our country because we are an island. But no one talks about the other side of that immigration issue   which is the fact that all those southern European countries have been robbed of their youth, the countries have been raped. Their youth have had to leave to get work, so how are they going to rebuild their futures? Read more: The SunWill anyone ever forget the passionate performance   Roger Daltrey gave in NYC at the Garden to show his support for America right after 9/11? His legendary band played for the first responders. Here s a clip from the 9/11 show just in case you didn t see it: PART ONE:",politics,"May 10, 2016",True,416
12833,OBAMA’S FEDERAL AGENTS CAUGHT Spying On Law-Abiding Gun Show Customers,"Big brother is alive and well 3 months only 3 months In Obamaland surveillance on Muslim terror suspects is considered Islamaphobia, surveillance on Black Lives Matter riots is considered racism, but surveillance on law-abiding gun owners is an important crime-fighting tool. It turns out that federal agents have been spying on customers at guns shows and tracking their movements. Why? Because the current administration is hostile to legal gun ownership and completely inept.The Wall Street Journal originally broke this story but they have a stupid business model and put the article behind a pay wall. Thankfully there is this thing called the Internet where all information is available for free and Fox News has the scoop:The first problem you may notice in this illegal surveillance is how insanely pointless the operation is. There was no way this would ever yield any results if you understand California gun law. The Golden State does not have the  gun show loophole  that liberals love to blame for all crimes involving a gun. Even at a gun show, a person purchasing a firearm must undergo a background check and wait 10 before taking possession of the weapon.All gun transfers in California go through a federally licensed firearms dealer with no exceptions. Handgun purchases are limited to one every 30 days and require additional licensing. The state maintains a firearms registry. This is the last place in America where a person would try to make a straw purchase. Even less so for someone trying to buy guns, smuggle them into Mexico, and arm the drug cartels.On top of all that, California also bans many popular handguns and all  assault rifles.  Do the feds really think there is a vibrant black market in Mexico for California-compliant weapons? Apparently so.And despite the feds  claim, this was completely illegal it is most certainly not. The government can t just start spying on Americans without probable cause that a crime is being committed. The feds went fishing here and they forgot to bring bait, rods, and reels. They also didn t pick a spot with any fish.If the feds want to know how guns are getting from the US to Mexico they should go ask former Attorney General Eric Holder who green-lit Operation Fast and Furious. In that, the BATF let guns  go walking  from US gun stores right into the hands of the Mexican drug cartels. One of those guns was used to kill a US border patrol agent. Via: Downtrend",politics,"Oct 4, 2016",True,420
18177,BOOM! FOX NEWS HOST ERIC BOLLING Hits Back With $50 Million Defamation Suit Against Huffington Post Reporter Over Sexting Story,"Bolling tweeted a couple of messages, thanking his supporters who are standing by Bolling, as Huffington Post reporter Yashar Ali goes for the jugular Overwhelmed by all the support I have received. Thank youI look forward to clearing my name asap  Eric Bolling (@ericbolling) August 7, 2017In this tweet, Bolling claims that the accusations against him are  false smear attacks! I will continue to fight against these false smear attacks! THANK YOU FOR CONTINUED SUPPORT  Eric Bolling (@ericbolling) August 9, 2017The Hill   Fox News host Eric Bolling is reportedly suing the Huffington Post reporter who broke a story last week that included several female co-workers claiming Bolling sent them lewd photos. Just received a summons. Eric Bolling is suing me for defamation   $50 million in damages,   Yashar Ali, a HuffPost contributing writer, tweeted to his 140,000 Twitter followers on Wednesday.  I stand by my reporting + will protect my sources. Just received a summons. Eric Bolling is suing me for defamation   $50 million in damages. I stand by my reporting + will protect my sources  Yashar Ali   (@yashar) August 9, 2017Ali clarifies in his next post that Bolling is suing him and NOT the Huffington Post:It's important to note that Bolling's summons does not include HuffPost   he is coming after me personally. I'm a big boy but very telling https://t.co/nvludsIV87  Yashar Ali   (@yashar) August 9, 2017Not going to stop reporting on Eric Bolling or anyone else. I've had family members killed/jailed in Iran, a lawsuit isn't going to scare me https://t.co/nvludsIV87  Yashar Ali   (@yashar) August 9, 2017 The nature of this action is for damages and injunctive relief based on defamation arising from the defendant s efforts to injure the plaintiff s reputation through the intentional and/or highly reckless publication of actionable false and misleading statements about the plaintiff s conduct and character. As a result of the defendant s actions, the plaintiff has been substantially harmed,  reads the summons sent to Ali.The editor in chief of The Huffington Post tweeted that the outlet will be  standing by  Ali in the case.Yashar Ali is a paid freelancer under contract with HuffPost. We have no hesitation about standing by him financially in this case.  Lydia Polgreen (@lpolgreen) August 9, 2017HuffPost says they have ""no hesitation"" to financially stand by @yashar in @ericbolling case  Hadas Gold (@Hadas_Gold) August 10, 2017",left-news,"Aug 9, 2017",True,416
12410,Indonesia corruption court indicts ex-parliament speaker after delays,"Indonesian prosecutors charged a former parliament speaker on Wednesday in connection with a $170 million graft scandal after he held up proceedings for hours at the opening of his trial, saying he was ill. Setya Novanto has been brought to trial by the Corruption Eradication Commission (KPK), which suspects extensive pilfering of public funds linked to a national identity card program. Novanto, who resigned as speaker of parliament this week,  has denied wrongdoing.  He had managed to cling to power through several previous corruption cases and repeatedly missed summonses for questioning by the anti-graft agency in connection with this case in recent months, saying he needed heart surgery. Novanto, who arrived at court in a white shirt and a bright orange jacket usually worn by the KPK s graft suspects, said he had diarrhea and needed medical attention. Prosecutors from the KPK said he was lying and that doctors had given him a clean bill of health earlier on Wednesday. He declined to confirm to the court details like his name or place of birth. After long delays to allow doctors to examine Novanto, the  presiding judge at the Jakarta corruption court let prosecutors read out the charges, which included unlawful intervention in the procurement process of the ID cards.  We are sure the defendant is healthy and can follow the court proceedings. This is part of the defendant s lies,  prosecutor Irene Putri said as defense lawyers called for more medical examinations for their client. The KPK is investigating state losses amounting to about $170 million linked to the national electronic identity card scheme after allegations that sums ranging from $5,000 to $5.5 million - generated by marking up procurement costs - were  divided up among politicians in parliament. KPK investigators last month put Novanto under armed guard in hospital and then took him into custody. Novanto s case has riveted the media and captured the attention of social media users, many of whom have mocked him in widely shared posts. The allegations against Novanto have reinforced the perception among Indonesians that their parliament, long regarded as riddled with entrenched corruption, is a failing institution. Indonesia was ranked last year at 90 out of 176 countries on Transparency International s corruption perception index. The watchdog has singled out parliament as Indonesia s most corrupt institution, and in July called on President Joko Widodo to protect the KPK against attempts by the legislature to weaken the commission s powers.",worldnews,"December 13, 2017 ",False,415
2342,Democratic Leader Nancy Pelosi Demands Sessions Resign Over Russian Perjury,"For months Donald Trump and his top staffers have sworn that no one in the campaign had contact with the Russian government while it was in the middle of engaging in a cyber attack against Democrats. Trump s new Attorney General, Jeff Sessions, even testified under oath that he had not spoke to Russian officials while working on Trump s campaign.And that lie just got exposed.Now high ranking Democrats including House Minority Leader Nancy Pelosi and Ranking Member of the House Oversight Committee Elijah Cummings have both called on Sessions to immediately step down. Pelosi s statement was a scorched earth condemnation of Sessions, Trump, and the entire administration which seems hell-bent on covering up its connections to Russia no matter what. Jeff Sessions lied under oath during his confirmation hearing before the Senate. Under penalty of perjury, he told the Senate Judiciary Committee,  I have been called a surrogate at a time or two in that campaign and I did not have communications with the Russians.  We know that statement is false.Attorney General Sessions has never had the credibility to oversee the FBI investigation of senior Trump officials  ties to the Russians. This is why Democrats have consistently called for Sessions to recuse himself from any oversight of the investigation.Now, after lying under oath about his own communications with the Russians, the Attorney General must resign. There must be an independent, bipartisan, outside commission to investigate the Trump political, personal, and financial connection to the Russians. Cummings was equally forceful in calling for Sessions to resign, citing the fact that Michael Flynn, Trump s disgraced former National Security Advisor, had already resigned for a similar offense and Sessions  was that much worse because he kept quiet about it even after that scandal.Sessions should have the self-respect to resign, because he may be also be facing a conviction. At least one former White House ethics lawyer has already stated that he believes what Sessions did could easily send him to prison.Misleading the Senate in sworn testimony about one own contacts with the Russians is a good way to go to jail https://t.co/qH0s6sTMJ9  Richard W. Painter (@RWPUSA) March 2, 2017As Pelosi noted, Sessions  credibility was already zero and now it s under water. In a Trump administration bursting at the seams with corruption, Session has managed to stand out as particularly appalling. Republicans now need to join with Speaker Pelosi and Rep. Cummings and demand Sessions leave in disgrace.Featured image via Zach Gibson/Getty Image",News,"March 2, 2017",True,419
12884,Chinese state media tells readers how to survive a nuclear attack,"A state-run newspaper in China s Jilin province, which borders North Korea and Russia, on Wednesday published a page of  common sense  advice on how readers can protect themselves from a nuclear weapons attack or explosion. China has voiced grave concern over North Korea s nuclear and missiles program, as well as calling on the United States and South Korea to stop provoking Pyongyang. U.S. bombers will fly over the Korean peninsula on Wednesday as part of a large-scale joint military drills with South Korea. The North has warned the drills would push the Korean Peninsula to the  brink of war . The full page article in the Jilin Daily, which does not mention possible attacks by North Korea or any other country, explains how nuclear weapons differ from traditional arms and instructs people how to protect themselves in the event of an attack. Nuclear weapons have five means of causing destruction: light radiation, blast waves, early-stage nuclear radiation, nuclear electro-magnetic pulses and radioactive pollution, the article explained. It said the first four kill instantly. People who find themselves outside during a nuclear attack should try to lie in a ditch, cover exposed skin in light colored clothing or dive into a river or lake to try and minimize the possibility of instantaneous death, it said. Cartoon illustrations of ways to dispel radioactive contamination were also provided, such as using water to wash off shoes and using cotton buds to clean ears, as well as a picture of a vomiting child to show how medical help can be sought to speed the expulsion of radiation through stomach pumping and induced urination. The influential state-backed Global Times in a commentary on Wednesday described the article as a public service announcement  due to the situation on the Korean peninsula.  If war breaks out, it is not possible to rule out the Korean peninsula producing nuclear contaminants, and countermeasures must be seriously researched and spoken openly about to let the common folk know. But at the same time, there is absolutely no reason to be alarmed,  the Global Times said. North Korea last week tested what it called its most advanced intercontinental ballistic missile (ICBM) that could reach all of the United States. U.S. President Donald Trump has warned he would destroy the North Korean regime if it threatened the United States with nuclear weapons. China has rejected military intervention and called for an end to the war of words between Washington and Pyongyang.",worldnews,"December 6, 2017 ",False,417
